place_number;booking_weezpay_account;stall_name;drink_categories;food_types
045.18;2174-002;Stand de Zupan Sandi (Bassin);minérales;Burgers, Crêpes, Spécialités Amérique latine, Tex-Mex
297.03;2215-002;Stand de La Cantine du Neubourg;;
744.02;2161-003;Stand de Restaurant Maharajah/Younas Butt;minérales, vins, bières;Kebab, Spécialités indo-pakistanaises
387.10;2059-002;Stand de Selver Ogiz;;Grillades, Saucisse grillée, poulet grillé, hot-dog, frite, cevap
537.12;2413-002;Stand de Tamara;minérales, bières, liquoreux;
384.20;2262-004;Stand des Jeunes Libéraux-Radicaux Neuchâtelois;minérales, vins, bières, cocktails;
780.10;2253-003;La Bonne Binche;minérales, vins, bières, liquoreux, cocktails;
780.07;2143-002;Stand de HC UNIVERSITE NEUCHATEL;minérales, vins, bières, liquoreux, cocktails;Frites
384.02;2428-002;Gym La Coudre;minérales, vins, bières;Ramequins & planches-apéro
537.02;2070-002;Stand de Nesenshon Christian;;Churros, Crêpes
384.28;2179-002;Stand du Ski Extrême;minérales, vins, bières, liquoreux, cocktails;
648.22;2272-002;Stand de Wetzel Frank;;Confiserie, Crêpes, Granita barbapapa popcorn
347.01;2048-002;Stand de Faivre Pierre;minérales, vins, bières, cocktails;Poissons, Tartares
387.04;2058-002;Maison du Concert;minérales, vins, bières, liquoreux, cocktails;
198.02;2156-002;Monsieur Hot-Dog;minérales, bières;Burgers, hot-dog
726.01;2366-002;Empanadas;;Spécialités Amérique latine
378.05;2206-002;Bar de la place Fernando Dos Santos;;
795.03;2152-002;Stand Association Machu Picchu;minérales, vins, bières, cocktails;Spécialités Amérique latine, Tamales, Empanadas, Ceviche
387.12;2061-002;Pizza au feu de bois;;Pizza
648.16;2095-002;Stand de Mongelluzzo Giuseppe;;Burgers, Grillades, Poissons, Sandwich, Saucisses, frites, hot dog, nuggets, sandwichs chauds
384.01;2164-002;La Gaufre Haddock;;Crêpes, gaufres
780.04;2140-002;Pineapple Oasis;minérales, vins, bières, liquoreux, cocktails;Croques-Monsieur
537.20;2075-002;Stand de Tran David;;Spécialités Asiatiques
351.02;2180-002;Ski Nautique Club de Neuchâtel;minérales, vins, bières, liquoreux, cocktails;Raclette
744.16;2174-003;Stand de Zupan Sandi (Seyon);minérales;
201.05;2159-002;PAPRIKA;;
648.03;2169-002;Stand de Zupan Robert;minérales, bières;Burgers, Confiserie
045.02;2014-003;Stand du Saloon;minérales, vins, bières, liquoreux, cocktails;
201.06;2159-004;PAPRIKA BAR;minérales, vins, bières;
648.10;2169-003;Stand de Zupan Robert;minérales, bières;Burgers
201.08;2159-005;PAPRIKA BAR - Salle à manger;;
648.14;2169-004;Stand de Zupan Robert;minérales, bières;Burgers, Grillades
744.32;2356-002;Stand El Tipico;minérales, bières, liquoreux, cocktails;Spécialités Amérique latine
306.03;2162-002;FC Cortaillod;minérales, vins, bières, cocktails;Burgers, Pâtes, Sandwich, Steak vigneron, Lasagnes
780.11;2176-002;Neuchâtel Gym;minérales, vins, bières;
780.03;2139-002;FC Helvetia;minérales, vins, bières;Steak vigneron, Saucisse
732.02;2118-002;Association des anciens élèves de l'ESCN;minérales, vins, bières;
387.01;2475-002;Stand de RTN;minérales, vins, bières, cocktails;Grillades, Raclette, Spécialités Asiatiques, Steak vigneron
792.07;2150-002;Stand de Gangi Dino Loris;minérales, bières, liquoreux, cocktails;Frites + sauces
537.03;2071-002;Choucroute;minérales, vins, bières;Choucroute
648.02;2087-002;Au coin de la Poste;minérales, bières;Burgers, Poissons, Steak vigneron, gaufres et frites
657.06;2242-002;Stand de Ferreira Antonio;minérales, liquoreux;Spécialités Portugaises
792.09;2409-002;Stand de Brasserie du Jura;;
198.06;2264-003;Stand de Kilian Winz;minérales, vins, bières;
240.01;2087-003;Stand de Gamboni Aline;;
726.12;2486-002;Stand de l'association PRISME;;
648.15;2252-002;Stand de Ayache Bruno;minérales;Burgers, American hot dog et frites fraîches
726.10;2252-003;Burgerland 2;;Burgers
744.05;2124-002;Santos Reyes Jeffry;minérales, vins, bières, cocktails;Spécialités Amérique latine
726.29;2486-003;Stand de l'association PRISME;minérales, vins, bières;Raclette
276.12;2388-002;Stand de Jeanne ganaj;minérales, vins, bières, liquoreux, cocktails;
045.08;2493-002;Stand du Lions Club NE lac et montagnes;minérales, vins, bières, cocktails;Planchettes apéro (Fromages, pain, viande séchée, etc)
276.02;2447-002;Stand de AMFCV;minérales, vins, bières, liquoreux, cocktails;
378.06;2202-002;Mentor Kalanderi;;
378.04;2202-003;Mentor Kalanderi;;
201.02;2202-004;Mentor Kalanderi;;
648.40;2225-002;Stand de Joël Schwab;;
780.05;2141-002;Famiglia Leccese;minérales, vins, bières;Grillades, Poissons
157.01;2212-002;Stand de Mahmoud Abu-Shahin;;Crêpes
537.17;2259-002;Stand Latitude Brésil;minérales, vins, bières, liquoreux, cocktails;
780.19;2222-002;Okapi Great Food and Coffee;;
205.03;2040-002;Judo Club Cortaillod;minérales, vins, bières, liquoreux, cocktails;
387.14;2063-002;FSG Corcelles-Cormondrèche;minérales, vins, bières, cocktails;Grillades, Steak vigneron
648.32;2104-002;Stand de Vasquez Richard;minérales, bières, liquoreux, cocktails;Burgers
387.13;2455-002;Stand de lourdyhampe;minérales;Gaufres
537.30;2082-002;Stand de Tarantino Melissa;minérales, vins, bières, cocktails;Grillades, Tortillas
654.01;2197-002;Stand de Michaël Oberhänsli;;
657.21;2208-002;Stand de Gary John Pethoud;;
648.38;2106-003;Stand de Chamorro Luz;minérales, vins, bières, liquoreux;Sandwich, empanadas pan con chicharones
537.31;2235-002;Stand de Senol Özkaya;;
627.04;2462-002;Stand de lequaiduport.ne;;
732.14;2376-002;ASI AUDAX-FRIUL;minérales, vins, bières, liquoreux, cocktails;
198.07;2027-002;Stand de Tupani Besim;minérales;Burgers
780.08;2248-002;Sapori Italiani;minérales, vins, bières, liquoreux, cocktails;Risotto
198.11;2451-003;Stand Insieme / Perce-Neige;minérales, vins, bières;Sandwich, Frites, Croque-Monsieur, Gaufres
732.12;2466-002;Stand ASI Audax Féminines;minérales, vins, bières, liquoreux, cocktails;
780.09;2175-002;Stand du FUN;minérales, vins, bières, cocktails;Confiserie, Sandwich, tartelette, tartine, patisserie
378.08;2214-002;Hotel du Marché;;
198.10;2274-002;Stand de Zymberi;;Churros, Crêpes, Gaufres,  Marrons chauds
780.01;2251-003;Stand du Brotary Club;minérales, vins, bières, liquoreux, cocktails;
384.26;2186-003;Stand des Neuchâtel Knights;minérales, vins, bières, liquoreux, cocktails;
045.03;2303-003;Stand de willy bonnaval;minérales, vins, bières, cocktails;Churros, Confiserie
045.05;2359-002;Softice Neuchâtel;minérales;Burgers, Confiserie, Crêpes, Pizza, Spécialités Orientales, Glaces
537.05;2167-002;Stand de Khayrallah Nassim;minérales, vins, bières, liquoreux;
378.10;2229-002;Stand de Catherine Reichl;;
205.01;2227-002;Stand de Kaya Devrim;;
198.17;2501-002;TexMexFood;;Burgers, Spécialités Amérique latine, Plats TexMex tels que burritos, fajitas, texas wrap, frites, poulet frit
351.01;2237-002;Stand de Isa Bal;;
537.21;2303-004;Stand de willy bonnaval;minérales, granita sans alcool;Churros, Crêpes
387.11;2125-005;Stand de Duong Khanh Hiep;;Spécialités Asiatiques
045.12;2525-002;Bao Boys / Ichi Ramen;minérales, vins, bières;Spécialités Orientales
537.11;2167-003;Stand de Khayrallah Nassim;minérales, vins, bières, liquoreux, cocktails;
537.13;2167-004;Stand de Khayrallah Nassim;minérales, vins, bières, liquoreux;
732.04;2167-006;Stand de Khayrallah Nassim - nourriture libanaise;;Spécialités Orientales
732.06;2167-005;Stand de Khayrallah Nassim;minérales, vins, bières, liquoreux, cocktails;
648.04;2393-002;Stand de Bestevents sarl;minérales;Burgers, kebab, hamburger, balkans
198.08;2318-003;Stand de Les Verts;minérales, vins, bières;Soupe à la courge, pain, fromage + autre à voir
201.07;2220-002;Le Sud Restaurant;;
201.01;2220-003;Stand A l'Ouest;minérales, vins, bières, liquoreux, cocktails;
276.01;2303-005;Bonnaval - churros;;
306.07;2442-002;MGM Café;minérales, vins, bières, liquoreux, cocktails;
744.78;2183-002;Dimitri Engel & La Cantine;minérales, vins;Burgers
744.76;2183-006;Escargot Rouge Invité Swiss Wine Vaud;vins;Pâté Vaudois
744.74;2183-003;Vins Alain Gerber & Silex;vins;Planchette du terroir façon poisson
744.72;2183-005;Les Caves de la Béroche & EpiQure;vins, bières;
792.05;2149-002;CIANE;minérales, vins, bières, liquoreux, cocktails;Spécialités Africaines, Grillades, poissons, bananes beignets
744.01;2131-002;Stand de Velez Gonzalez Yonatan;minérales, vins, bières, liquoreux, cocktails;Spécialités Amérique latine
198.19;2036-002;Buffalo Bill;minérales, bières, liquoreux, cocktails;
384.03;2537-002;Stand de ilir bytyqi;minérales, vins;Burgers
744.70;2183-007;Domaine Christalain & GSN;minérales, vins;Planchette neuchâteloise (tomme, saucisson et pain)
744.68;2183-008;Domaine Saint-Sébaste & FC Saint-Blaise;vins;
